"Record ID","Name","Project Amenities","Strata Fee per SqFt."
"2326204261","Prima","Fitness Centre; Indoor Social Lounge; Rooftop Space; Shared BBQ Area; Yoga Area; Party Room w/ Kitchen; Outdoor Social Space/Terrace","0.6"
"3951133257","Rose Garden","Childrens Play Area (Outdoor)","0.27"
"9404368022","One Park (Phase 3)","Fitness Centre; Indoor Social Lounge; Shared BBQ Area; Yoga Area; Firepits ; EV Car Charging; Childrens Play Area (Outdoor); Outdoor Garden Plots; Soundproof Music Room; Games/Flex Room; Party Room w/ Kitchen","0.56"
"6268492341","Aviary","Party Room w/ Kitchen; Games/Flex Room; Shared BBQ Area; Childrens Play Area (Outdoor)","0.22"
"7725145499","Talistar (Phase 1: Aurora)","Hot Tub ; Gymnasium; Fitness Centre; Co-working Space; Childrens Play Area (Outdoor); Yoga Area; Steam / Sauna ; Party Room w/ Kitchen; Outdoor Social Space/Terrace; Shared BBQ Area; Outdoor Garden Plots","0.73"
"12436515137","NorthGate Residences","Shared BBQ Area; Childrens Play Area (Outdoor)","0.28"
"13669205027","8899 Spires","Fitness Centre; Playground ","0.28"
"33588478131","Parc Thompson (Ph. 3)","Party Room w/ Kitchen","0.25"
"24654688065","Park Residences II (C)","Indoor Social Lounge; Party Room w/ Kitchen; Fitness Centre; Childrens Play Area (Outdoor); Boardroom/Meeting Room; Sports Simulator; Parcel Delivery Room","0.61"
"27193937987","Cavendish","Outdoor Social Space/Terrace; Childrens Play Area (Outdoor)","0.22"
"44981804942","Sunpeak","Playground ","0.35"
"26440859752","Quilchena West","Outdoor Social Space/Terrace; Party Room w/ Kitchen; Amenity Clubhouse; Childrens Play Area (Outdoor); Fitness Centre","0.38"
"56690808878","Milano at Capstan Village (Phase 3)","Indoor Social Lounge; Games/Flex Room; Outdoor Social Space/Terrace; Childrens Play Area (Outdoor); Bocce Ball Area; Party Room w/ Kitchen; Fitness Centre; Shared BBQ Area; Co-working Space","0.5"
